Unregelmäßige Wörter
morire,sterben,
moto,Motorrad,la moto
foto,Foto,la foto
problema,Problem,il problema
fare,machen,
uovo,Ei,l'uovo
volere,wollen,
dire,sagen,
avere,haben,
venire,kommen,unterscheide zu 'andare'
radio,Radio,la radio
dare,geben,
stare,stehen,
salire,hinaufgehen,hinaufgehen, einsteigen
scegliere,auswählen,
rimanere,bleiben,
chiudere,schließen,
cinema,Kino,il cinema
uscire,hinausgehen,
bere,trinken,
andare,gehen,
dovere,müssen,müssen, sollen
piacere,gefallen,
essere,sein,
mano,Hand,la mano
potere,können,können, dürfen
sapere,wissen,
uomo,Mann,l'uomo
tradurre,übersetzen,
tenere,halten,
