Essen
verdura,Gemüse,la verdura
forchetta,Gabel,la forchetta
piccante,scharf,
muesli,Müsli,il muesli
cucchiaio,Löffel,il cucchiaio
cucina,Küche,la cucina
ricetta,Rezept,la ricetta
cuoco,Koch,il cuoco
panna,Sahne,la panna
pomodoro,Tomate,il pomodoro
yogurt,Joghurt,lo yogurt
biscotto,Keks,il biscotto
pane,Brot,il pane
mangiare,essen,
frutta,Obst,la frutta
fresco,frisch,
cornetto,Croissant,il cornetto
coltello,Messer,il coltello
delizioso,lecker,
spezie,Gewürze,le spezie
peperone,Paprika,il peperone
dolce,Dessert,il dolce
torta,Kuchen,la torta
salato,salzig,
cucinare,kochen,
mercato,Markt,il mercato
riso,Reis,il riso
cetriolo,Gurke,il cetriolo
formaggio,Käse,il formaggio
panino,Brötchen,il panino
zuppa,Suppe,la zuppa
tagliare,schneiden,
il latte,Milch,il latte
cipolla,Zwiebel,la cipolla
mela,Apfel,la mela
banana,Banane,la banana
carne,Fleisch,la carne
ristorante,Restaurant,il ristorante
burro,Butter,il burro
patata,Kartoffel,la patata
pesce,Fisch,il pesce
