Draußen unterwegs
farmacia,Apotheke,la farmacia
mare,Meer,il mare
piscina,Schwimmbad,la piscina
macelleria,Metzgerei,la macelleria
guida,Führer,il guida; weibl: la guida
assolato,sonnig,auch 'soleggiato'
fare una passeggiata,spazierengehen,
traghetto,Fähre,il traghetto
strada,Straße,la strada; bei Schildern: 'la via'
ingorgo,Stau,l'ingorgo
nuvoloso,bewölkt,
autobus,Bus,l'autobus
camminare,wandern,
banca,Bank,la banca
binario,Gleis,il binario
in macchina,mit dem Auto,
treno,Zug,il treno
aereo,Flugzeug,l'aereo
museo,Museum,il museo
arrampicare,klettern,
parcheggio,Parkplatz,il parcheggio
medico,Arzt,il medico
nebbioso,neblig,
nebbia,Nebel,la nebbia
incidente,Unfall,l'incidente
bicicletta,Fahrrad,la bicicletta
cantiere,Baustelle,il cantiere
nevicare,schneien,
castello,Schloss,il castello
supermercato,Supermarkt,il supermercato
pasticceria,Konditorei,la pasticceria
piazza,Platz,la piazza
previsione del tempo,Wettervorhersage,le previsione del tempo
marciapiede,Gehweg,il marciapiede
polizia,Polizei,la polizia
ombra,Schatten,l'ombra
immergere,tauchen,
a piedi,zu Fuß,
piovere,regnen,
stazione,Bahnhof,la stazione
chiesa,Kirche,la chiesa
scuola,Schule,la scuola
spiaggia,Strand,la spiaggia
casa,Haus,la casa
bagaglio,Gepäck,il bagaglio
deviamento,Umleitung,il deviamento
panetteria,Bäckerei,la panetteria; auch 'il panificio'
barca,Schiff,la barca
ventoso,windig,
nuvola,Wolke,la nuvola
vento,Wind,il vento
biglietto,Ticket,il biglietto
municipio,Rathaus,il municipio
sole,Sonne,il sole
